,make,type,year,engine,mileage,price_in_azn
0,Peugeot, Partner,2022,1.5,0.0,40000.0
1,Opel, Astra,2009,1.4,257000.0,9000.0
2,Mercedes, S 350,2014,3.0,150000.0,103700.0
3,Fiat, Doblo,2022,1.4,0.0,45800.0
4,Kia, Optima,2014,2.0,215000.0,29900.0
5,DAF, XF 460 FT,2013,13.0,1000000.0,79000.0
6,Mercedes, E 200,2013,2.0,199500.0,39950.0
7,Hyundai, Sonata,2022,2.0,7000.0,55000.0
8,Hyundai, Elantra,2011,1.8,117000.0,19800.0
9,Mercedes, 280 E,1980,2.8,190000.0,6630.0
10,Toyota, Land Cruiser,2007,4.5,189586.0,30800.0
11,Toyota, Corolla,2020,1.8,78000.0,32300.0
12,Mercedes, C 300,2016,2.0,75000.0,50150.0
13,Hyundai, Sonata,2013,2.0,229000.0,23200.0
14,Mercedes, E 220,1999,2.2,220336.0,7900.0
15,Hyundai, Elantra,2012,1.8,307333.0,23000.0
16,Hyundai, i20,2008,1.2,201000.0,11800.0
17,Toyota, Corolla,2006,1.4,211000.0,14800.0
18,Mercedes, C 240,1999,2.4,288000.0,11200.0
19,BMW, X5,2013,3.0,204000.0,37400.0
20,Mitsubishi, Eclipse Cross,2023,2.0,0.0,47430.0
21,Mitsubishi, Pajero,1993,2.8,495000.0,8500.0
22,Mercedes, C 250,2013,1.8,101000.0,27800.0
23,LADA, (VAZ) 2106,2003,1.5,39870.0,4500.0
24,Kia, Optima,2011,2.4,205000.0,19500.0
25,Nissan, Tiida,2012,1.5,60000.0,14900.0
26,Hyundai, Sonata,2009,2.4,228000.0,19800.0
27,Hyundai, Elantra,2014,1.8,85000.0,23000.0
28,Kia, Optima,2014,2.0,113043.0,26800.0
29,Mercedes, E 240,2000,2.4,295000.0,14500.0
30,BMW, 330,2020,2.0,22000.0,69360.0
31,Chevrolet, Cruze,2015,1.4,175447.0,13000.0
32,Infiniti, JX35,2013,3.5,77000.0,37400.0
33,Volvo, FH 460,2014,13.0,975000.0,147000.0
34,Mitsubishi, Outlander,2023,2.5,0.0,71230.0
35,Toyota, Prius,2007,1.5,195000.0,13900.0
36,Land, Rover Range Rover,2022,3.0,0.0,419900.0
37,Toyota, Camry,2014,2.5,175600.0,41000.0
38,Lexus, LX 600,2023,3.5,0.0,303543.5
39,Mercedes, GLS 450,2022,3.0,0.0,249900.0
40,Toyota, Prius,2009,1.5,209666.0,16400.0
41,Land, Rover Range Rover,2018,3.0,60000.0,150450.0
42,Hyundai, i40,2012,1.7,274000.0,22500.0
43,Mercedes, C 180,1999,1.8,306000.0,11900.0
44,Volkswagen, Multivan,2013,2.0,80000.0,51000.0
45,Mercedes, E 200,2020,2.0,45000.0,103700.0
46,Ford, Mustang,2016,2.3,74550.0,41140.0
47,Lexus, LX 500d,2022,3.3,0.0,254150.0
48,Toyota, Prius,2007,1.5,195000.0,13900.0
49,Mercedes, C 250,2007,2.5,285000.0,13500.0
50,Nissan, Teana,2003,2.3,181500.0,10200.0
51,Mercedes, E 240,2001,2.4,270000.0,16900.0
52,Mitsubishi, Outlander Sport,2020,2.0,38000.0,43500.0
53,Toyota, Prado,2008,2.7,174000.0,35300.0
54,GAZ, 2705,1999,2.4,350000.0,5800.0
55,Opel, Vectra,1997,2.0,320000.0,5600.0
56,LADA, (VAZ) Niva,2022,1.7,7500.0,27000.0
57,LADA, (VAZ) 2106,1979,1.5,35000.0,2000.0
58,Mercedes, C 180,1998,1.8,202000.0,10000.0
59,Toyota, Prado,2013,2.7,143000.0,48110.0
60,Jeep, Wrangler,2020,2.0,40000.0,93500.0
61,BYD, F3,2008,1.5,410000.0,5400.0
62,Kia, Sorento,2016,2.2,150000.0,45699.0
63,Kia, Optima,2019,2.4,61155.0,28000.0
64,Opel, Astra,2007,1.7,478000.0,11000.0
65,Mercedes, Sprinter 313,2008,2.2,172315.0,26000.0
66,Opel, Zafira,2000,1.6,334253.0,8800.0
67,Jeep, Grand Cherokee,2012,3.6,218000.0,34500.0
68,Iran, Khodro Samand,2005,1.8,350000.0,4500.0
69,Toyota, Prius,2011,1.8,250000.0,18000.0
70,Ford, Fusion,2016,2.0,145000.0,24000.0
71,Hyundai, i30,2011,1.6,241000.0,15800.0
72,Hyundai, Elantra,2023,2.0,0.0,45900.0
73,Toyota, Yaris Cross,2022,1.5,0.0,45600.0
74,Hyundai, Grandeur,2022,2.4,0.0,74500.0
75,LADA, (VAZ) Niva Bronto,2023,1.7,0.0,25500.0
76,Toyota, Prius,2007,1.5,353000.0,13500.0
77,Mercedes, ML 63 AMG,2013,5.5,128000.0,85000.0
78,Kia, Sorento,2014,2.0,67500.0,32900.0
79,BMW, X5,2018,3.0,56000.0,149090.0
80,BMW, 528,2012,2.0,162000.0,42000.0
81,Kia, Cerato,2010,1.6,321000.0,17900.0
82,Ford, Transit,2008,2.2,196400.0,23300.0
83,BMW, 525,2000,2.5,360000.0,13500.0
84,BMW, 535,2015,3.0,62000.0,43690.0
85,Hyundai, Santa Fe,2010,2.4,141000.0,24900.0
86,DFSK, C-35,2023,1.5,0.0,31500.0
87,Mitsubishi, Outlander,2023,2.5,0.0,69530.0
88,Chevrolet, Lacetti,2006,1.6,285000.0,8800.0
89,Lexus, LX 450,2016,4.5,180431.0,130900.0
90,Kia, Ceed,2011,1.4,135905.0,14800.0
91,Daewoo, Gentra,2014,1.5,158345.0,12500.0
92,BMW, 328,2015,2.0,185000.0,34000.0
93,Toyota, Prado,2012,2.7,120000.0,48000.0
94,Hyundai, Accent,2014,1.6,94583.0,19000.0
95,LADA, (VAZ) Niva,2015,1.7,84300.0,13500.0
96,Hyundai, Tucson,2006,2.0,203000.0,14900.0
97,Hyundai, Elantra,2012,1.8,151000.0,20500.0
98,Nissan, Navara,2011,2.5,221000.0,30500.0
99,Land, Rover Range Rover,2019,3.0,33500.0,235450.0
100,GAZ, 3302-288,2003,2.5,83272.0,14500.0
101,Opel, Astra,2006,1.3,160000.0,12700.0
102,Kia, Sorento,2012,2.0,198085.0,31500.0
103,Hyundai, Sonata,2010,2.4,203000.0,20800.0
104,Chevrolet, Cruze,2011,1.8,177300.0,12800.0
105,Kia, Sorento,2016,2.0,140000.0,44699.0
106,Mercedes, C 200,2022,1.6,5000.0,43350.0
107,LADA, (VAZ) Priora,2015,1.6,372000.0,11200.0
108,BMW, iX,2022,0.0,0.0,151300.0
109,Land, Rover Defender,2023,3.0,0.0,276250.0
110,Mercedes, S 350,2010,3.5,176000.0,38900.0
111,Geely, Emgrand,2023,1.5,0.0,34900.0
112,Mercedes, B 180,2013,1.8,157000.0,25500.0
113,Toyota, Corolla,2016,1.8,120701.0,23600.0
114,Mini, Clubman,2017,2.0,77000.0,31620.0
115,Porsche, Taycan 4S,2021,0.0,17900.0,229500.0
116,Land, Rover Range Rover,2014,3.0,194000.0,104550.0
117,Hyundai, Elantra,2014,1.8,215652.0,19500.0
118,Mercedes, C 220,1999,2.2,428000.0,15800.0
119,Audi, A4,2015,1.8,58000.0,30600.0
120,Volkswagen, Golf,2010,1.6,230050.0,12800.0
121,Toyota, Prius,2007,1.5,292922.0,15000.0
122,Mercedes, C 180,1994,1.8,325000.0,7900.0
123,LADA, (VAZ) 2107,2009,1.6,150000.0,6200.0
124,Opel, Astra,2000,1.6,400000.0,7600.0
125,LADA, (VAZ) 2106,1981,1.5,43062.0,3300.0
126,Renault, Scenic,2009,1.5,290000.0,13300.0
127,Khazar, SD,2019,1.7,163000.0,9900.0
128,Mercedes, C 230,2003,2.5,365000.0,11700.0
129,Kia, Cadenza,2018,3.3,77000.0,58650.0
130,KamAz, 6520,2012,11.0,47000.0,26700.0
131,LADA, (VAZ) 2112,2008,1.6,203846.0,7500.0
132,Toyota, Prado,2007,4.0,158400.0,33660.0
133,LADA, (VAZ) 2107,2002,1.6,100000.0,2300.0
134,Kia, Carnival,2016,2.2,123000.0,42699.0
135,Iran, Khodro Samand,2006,1.8,180000.0,1600.0
136,LADA, (VAZ) 2106,1983,1.6,85000.0,4300.0
137,Mercedes, 190,1991,2.0,450000.0,6200.0
138,BMW, 735,2002,3.5,495000.0,11000.0
139,Nissan, Sunny,2016,1.2,68000.0,16300.0
140,KamAz, 5511,1989,11.0,468919.0,16000.0
141,Chery, Sweet (QQ),2006,0.8,160000.0,3300.0
142,Hyundai, Elantra,2012,1.8,267000.0,19799.0
143,Mercedes, Atego 1229,2007,4.3,473000.0,53000.0
144,Infiniti, FX35,2011,3.5,149000.0,31500.0
145,BMW, iX,2022,0.0,0.0,164050.0
146,Volkswagen, ID.6,2022,0.0,0.0,79900.0
147,Chevrolet, Tracker,2023,1.2,0.0,43500.0
148,Toyota, Prius,2009,1.5,290000.0,16800.0
149,Land, Rover Discovery,2018,2.0,75000.0,94350.0
150,BMW, 530,2017,2.0,62000.0,70550.0
151,Toyota, Highlander,2022,2.5,17000.0,94350.0
152,BMW, 528,2012,2.0,162000.0,42000.0
153,LADA, (VAZ) 2106,1985,1.5,222222.0,4000.0
154,Infiniti, QX56,2007,5.6,405000.0,28000.0
155,Mercedes, GL 500,2014,4.7,155500.0,68850.0
156,Mercedes, Atego 1229,2007,4.3,473000.0,53000.0
157,Opel, Astra,2007,1.3,242000.0,11500.0
158,Kia, Ceed,2007,1.6,226466.0,14500.0
159,Mercedes, Axor 2529,2007,6.4,700000.0,66000.0
160,Mercedes, E 220,2007,2.2,253500.0,24300.0
161,LADA, (VAZ) Niva,2013,1.7,136000.0,10300.0
162,Hyundai, Sonata,2008,2.4,190000.0,16500.0
163,Opel, Vectra,1997,2.0,220000.0,5700.0
164,Ford, Fusion,2017,1.5,179000.0,24900.0
165,Hyundai, i30,2008,1.6,188000.0,15500.0
166,Hyundai, i30,2010,1.6,207485.0,15500.0
167,Toyota, Prius,2007,1.5,215000.0,15100.0
168,Mercedes, Atego 1229,2011,6.4,353000.0,57000.0
169,Hyundai, i30,2008,1.6,181000.0,15500.0
170,Mercedes, Vito 115,2007,2.2,425000.0,26500.0
171,Skoda, Rapid,2020,1.6,46500.0,27000.0
172,Kia, Ceed,2010,1.6,243000.0,16200.0
173,Toyota, RAV4,2020,2.5,43000.0,64430.0
174,Mercedes, E 230,1997,2.3,341000.0,9000.0
175,Mercedes, Axor 2533,2009,7.0,694000.0,81600.0
176,Hyundai, Elantra,2013,1.6,150000.0,24000.0
177,Mitsubishi, Outlander Sport,2011,2.0,187452.0,21800.0
178,Kia, Picanto,2013,1.0,118568.0,13800.0
179,Chevrolet, Cruze,2014,1.4,237000.0,14600.0
180,Hyundai, Grandeur,2020,2.4,63810.0,71300.0
181,Chevrolet, Traverse,2022,3.6,0.0,118830.0
182,Kia, Cerato,2018,2.0,113895.0,22800.0
183,Mercedes, S 350,2010,3.5,176000.0,38900.0
184,Hyundai, ix35,2012,2.0,121876.0,27500.0
185,Peugeot, Expert,2013,2.0,246000.0,23000.0
186,Kia, Sorento,2007,2.5,307000.0,16000.0
187,Porsche, Panamera GTS,2014,4.8,136000.0,83300.0
188,Land, Rover Range Rover,2013,3.0,173000.0,93500.0
