"brand","price","details"
"Nissan Micra","12 900 AZN","2012, 1.2 L, 43 257 km"
"Kia Sportage","54 000 AZN","2023, 1.6 L, 0 km"
"Hyundai Tucson","47 900 AZN","2023, 2.0 L, 0 km"
"Geely Tugella S","66 900 AZN","2023, 2.0 L, 0 km"
"Mercedes S 500","61 900 $","2014, 4.7 L, 54 000 km"
"Mercedes B 180","25 500 AZN","2013, 1.8 L, 157 000 km"
"BMW M340","57 000 $","2020, 3.0 L, 48 000 km"
"Hyundai Elantra","35 000 AZN","2020, 1.6 L, 90 800 km"
"BMW 328","23 000 $","2016, 2.0 L, 125 000 km"
"Toyota Camry","37 900 $","2021, 2.5 L, 9 888 km"
"Hyundai Santa Fe","28 300 AZN","2012, 2.0 L, 113 570 km"
"Land Rover Range Rover","32 300 $","2012, 5.0 L, 114 600 km"
"LADA (VAZ) 2115","8 800 AZN","2011, 1.6 L, 159 585 km"
"Kia Sorento","33 800 AZN","2015, 2.0 L, 123 000 km"
"Mercedes S 500","58 000 $","2014, 4.7 L, 129 000 km"
"Chevrolet Cruze","11 000 AZN","2014, 1.4 L, 206 000 km"
"Hyundai Grandeur","33 500 AZN","2015, 2.4 L, 123 000 km"
"LADA (VAZ) Niva","7 800 AZN","2010, 1.7 L, 127 000 km"
"Toyota Corolla","15 400 AZN","2006, 1.4 L, 175 000 km"
"Ford Tourneo Connect","14 300 AZN","2009, 1.8 L, 373 000 km"
"Mercedes E 200","24 500 AZN","2007, 1.8 L, 244 369 km"
"Opel Astra","4 000 AZN","1993, 1.7 L, 690 111 km"
"LADA (VAZ) 2114","8 500 AZN","2012, 1.6 L, 216 000 km"
"Hyundai Sonata","29 800 AZN","2015, 2.0 L, 112 800 km"
"Mercedes E 230","8 500 AZN","1995, 2.3 L, 380 000 km"
"MAN TGX 18.440","57 000 AZN","2012, 12 L, 915 000 km"
"LADA (VAZ) Niva","19 800 AZN","2015, 1.7 L, 17 000 km"
"Nissan Note","14 800 AZN","2014, 1.2 L, 35 000 km"
"Nissan Note","13 400 AZN","2012, 1.5 L, 30 500 km"
"Opel Astra","8 600 AZN","1999, 1.6 L, 429 155 km"
"Mercedes C 180","26 000 $","2015, 1.6 L, 156 000 km"
"Toyota Corolla","19 900 AZN","2011, 1.4 L, 210 000 km"
"Hyundai Santa Fe","34 000 AZN","2012, 2.0 L, 142 000 km"
"Toyota Prius","22 800 AZN","2012, 1.8 L, 206 447 km"
"GAZ 3302-744","8 800 AZN","2000, 2.4 L, 99 999 km"
"Mercedes C 220","6 400 AZN","1994, 2.2 L, 321 000 km"
"Subaru Forester","40 900 $","2022, 2.5 L, 0 km"
"Mercedes S 350","61 000 $","2014, 3.0 L, 150 000 km"
"JAC T8","43 500 AZN","2022, 2.0 L, 0 km"
"Alfa Romeo Giulia","50 600 €","2022, 2.0 L, 0 km"
"BMW M3","43 800 $","2014, 3.0 L, 95 000 km"
"Mercedes GLB 35 AMG","65 000 $","2020, 2.0 L, 24 000 km"
"Kia Stinger","30 800 $","2020, 2.0 L, 35 000 km"
"Honda Civic","12 500 AZN","2006, 1.3 L, 178 000 km"
"Land Rover Discovery","25 500 AZN","2006, 3.2 L, 250 000 km"
"Toyota Camry","28 500 $","2018, 2.5 L, 191 000 km"
"Chevrolet Captiva","17 200 AZN","2008, 3.2 L, 283 000 km"
"Tofas Sahin","7 000 AZN","2005, 1.6 L, 33 900 km"
"GAZ 3302-744","8 800 AZN","2000, 2.4 L, 99 999 km"
"Mercedes C 220","6 400 AZN","1994, 2.2 L, 321 000 km"
"Mercedes C 230","11 900 AZN","1999, 2.3 L, 236 000 km"
"Toyota Prado","28 800 AZN","2006, 2.7 L, 260 000 km"
"Chevrolet Cruze","12 750 AZN","2011, 1.4 L, 188 000 km"
"Nissan Note","13 200 AZN","2012, 1.5 L, 62 000 km"
"Kia Sportage","21 000 AZN","2011, 2.0 L, 210 000 km"
"Volkswagen Golf","6 800 AZN","2000, 1.6 L, 243 758 km"
"Opel Astra","10 900 AZN","2007, 1.7 L, 284 000 km"
"Mercury Mariner","17 300 AZN","2011, 3.0 L, 182 000 km"
"LADA (VAZ) 2115","7 800 AZN","2012, 1.6 L, 358 000 km"
"LADA (VAZ) 2107","5 600 AZN","2005, 1.6 L, 123 456 km"
"LADA (VAZ) 2106","7 000 AZN","2005, 1.6 L, 95 000 km"
"BMW 745","10 000 AZN","2001, 4.4 L, 358 000 km"
"Land Rover RR Sport","51 500 $","2016, 3.0 L, 48 600 km"
"Hyundai Sonata","21 000 AZN","2010, 2.4 L, 215 000 km"
"Kia Sportage","28 700 AZN","2013, 2.0 L, 185 000 km"
"Toyota Land Cruiser","30 000 AZN","2007, 4.6 L, 585 885 km"
"Mercedes C 230","9 350 AZN","1998, 2.3 L, 290 852 km"
"Fiat Doblo","21 000 AZN","2016, 1.4 L, 76 500 km"
"Toyota Land Cruiser","22 500 $","2008, 4.0 L, 147 000 km"
"LADA (VAZ) 2107","8 600 AZN","2011, 1.6 L, 18 223 km"
"Chevrolet Captiva","17 200 AZN","2008, 3.2 L, 283 000 km"
"Lexus ES 300h","62 900 $","2022, 2.5 L, 0 km"
